Experiment Name,|V|,|E|,Interdiction Budget,Number of Refinement Iterations,Number of Nodes Per Refinement Partition,Timeout,No Change Objective Value,No Change Time,Refine Problem Distribution Objective Value,Refine Problem Distribution Time,Solve Full Problem (CBC) Objective Value,Solve Full Problem (CBC) Time
random_50x50,2502,5000,12,50,20,1,203,1.384,218,346.746,218,>
random_55x55,3027,6050,15,50,20,1,216,0.957,239,381.569,242,>
random_60x60,3602,7200,18,50,20,1,245,1.008,266,508.811,272,>
random_65x65,4227,8450,21,50,20,1,249,1.606,278,816.898,282,>
random_70x70,4902,9800,24,50,20,1,283,1.037,306,941.32,306,>
random_75x75,5627,11250,28,50,20,1,283,1.022,325,1440.951,329,>
random_80x80,6402,12800,32,50,20,1,332,1.116,352,1460.183,350,>
random_85x85,7227,14450,36,50,20,1,348,1.142,367,1791.008,370,>
random_90x90,8102,16200,40,50,20,1,349,1.271,396,2553.797,405,>
random_95x95,9027,18050,45,50,20,1,370,1.902,409,3324.582,417,>
random_100x100,10002,20000,50,50,20,1,384,1.309,428,3835.416,425,>
random_105x105,11027,22050,55,50,20,1,414,1.354,455,4700.968,460,>
random_110x110,12102,24200,60,50,20,1,446,1.415,479,6079.743,479,>
random_50x50,2502,5000,25,50,20,1,190,0.794,224,324.036,227,>
random_55x55,3027,6050,30,50,20,1,227,0.937,249,392.462,256,>
random_60x60,3602,7200,36,50,20,1,238,0.821,273,577.172,274,>
random_65x65,4227,8450,42,50,20,1,258,0.847,289,1106.945,295,>
random_70x70,4902,9800,49,50,20,1,271,1.18,305,1528.284,316,>
random_75x75,5627,11250,56,50,20,1,288,1.238,330,2030.556,342,>
random_80x80,6402,12800,64,50,20,1,322,1.29,355,1940.156,353,>
random_85x85,7227,14450,72,50,20,1,320,1.07,374,2413.732,377,>
random_90x90,8102,16200,81,50,20,1,363,0.987,397,3111.727,401,>
random_95x95,9027,18050,90,50,20,1,384,1.359,422,4912.153,426,>
random_100x100,10002,20000,100,50,20,1,399,1.5,437,8148.973,436,>
random_105x105,11027,22050,110,50,20,1,414,1.537,464,10654.714,466,>
random_110x110,12102,24200,121,50,20,1,424,1.641,488,13144.415,499,>
random_50x50,2502,5000,12,50,40,1,191,1.031,207,291.202,211,>
random_55x55,3027,6050,15,50,40,1,211,1.101,233,406.977,238,>
random_60x60,3602,7200,18,50,40,1,238,1.071,265,499.661,269,>
random_65x65,4227,8450,21,50,40,1,258,1.048,282,648.561,285,>
random_70x70,4902,9800,24,50,40,1,282,1.088,304,847.903,309,>
random_75x75,5627,11250,28,50,40,1,295,1.088,328,1076.597,334,>
random_80x80,6402,12800,32,50,40,1,296,1.146,338,1311.075,347,>
random_85x85,7227,14450,36,50,40,1,336,1.232,373,1746.187,378,>
random_90x90,8102,16200,40,50,40,1,356,1.203,392,2254.539,390,>
random_95x95,9027,18050,45,50,40,1,377,1.258,409,2777.968,421,>
random_100x100,10002,20000,50,50,40,1,380,1.336,431,3117.672,441,>
random_105x105,11027,22050,55,50,40,1,423,1.224,456,3554.163,446,>
random_110x110,12102,24200,60,50,40,1,427,1.245,475,3888.212,475,>
